Fecha,Nuevos Empleados,Tasa de Retención (%),Satisfacción del Empleado
2023-01-01,14,1705.92,23
2023-01-02,622,3429.09,998
2023-01-03,657,4941.99,432
2023-01-04,59,2734.09,871
2023-01-05,584,871.34,777
2023-01-06,833,271.45,523
2023-01-07,419,2946.09,29
2023-01-08,413,3883.19,218
2023-01-09,415,1190.82,872
2023-01-10,414,3909.88,846
2023-01-11,631,2098.35,439
2023-01-12,960,2178.41,728
2023-01-13,642,634.98,643
2023-01-14,633,4504.88,971
2023-01-15,756,4933.43,515
2023-01-16,994,3821.06,345
2023-01-17,200,2352.83,517
2023-01-18,574,355.19,671
2023-01-19,569,4357.1,509
2023-01-20,570,2570.99,62
2023-01-21,86,3561.31,866
2023-01-22,727,4214.22,163
2023-01-23,808,2006.13,812
2023-01-24,853,3759.59,94
2023-01-25,343,1885.46,298
2023-01-26,587,4258.48,954
2023-01-27,433,4533.25,964
2023-01-28,139,2335.75,917
2023-01-29,663,2048.92,576
2023-01-30,148,2673.82,323
2023-01-31,664,3642.43,462
2023-02-01,209,1354.5,349
2023-02-02,811,851.02,140
2023-02-03,84,3765.94,400
2023-02-04,996,2692.03,639
2023-02-05,544,150.01,805
2023-02-06,328,3534.04,773
2023-02-07,708,1866.0,933
2023-02-08,950,2380.28,56
2023-02-09,441,695.76,989
2023-02-10,723,4101.92,616
2023-02-11,53,2904.27,702
2023-02-12,629,2683.42,718
2023-02-13,761,1765.7,285
2023-02-14,345,593.44,405
2023-02-15,277,784.78,153
2023-02-16,290,3308.21,57
2023-02-17,437,2417.21,711
2023-02-18,696,4916.2,176
2023-02-19,309,254.23,879
